FID,Position_X,Position_Y,Crown,Height
0,526048.2348,4694121.848,2.93072,18.53964177
1,526046.5755,4694117.785,2.46704,16.58676308
2,526032.851,4694117.785,3.05216,18.99953478
3,526036.5495,4694123.087,2.93072,18.53964177
4,526031.8514,4694122.383,2.61056,17.22830912
5,526030.9417,4694126.953,2.6216,17.27617273
6,526024.7642,4694128.559,2.35664,16.06704061
7,526019.9362,4694123.676,2.26832,15.63320882
8,526015.7778,4694120.117,2.37872,16.17292818
9,526021.6755,4694118.782,2.00336,14.2210032
10,526024.4543,4694115.813,2.41184,16.32990976
11,526022.4452,4694111.905,2.57744,17.0834813
12,526030.0821,4694112.041,2.93072,18.53964177
13,526035.0701,4694110.632,2.61056,17.22830912
14,526042.3172,4694110.338,2.57744,17.0834813
15,526048.6147,4694104.332,2.58848,17.13196518
16,526038.0689,4694105.325,3.09632,19.1622043
17,526030.8118,4694107.391,2.90864,18.45396197
18,526033.2308,4694104.268,2.54432,16.93676026
19,526003.3728,4694101.316,2.98592,18.75102279
20,526000.9138,4694106.008,3.07424,19.08116423
21,526009.2804,4694104.233,3.284,19.82839632
22,526013.6587,4694100.863,2.70992,17.65190656
23,526014.0385,4694107.25,2.6216,17.27617273
24,526020.296,4694101.47,2.65472,17.41855096
25,526025.354,4694104.302,2.76512,17.88050916
26,526025.0241,4694109.048,2.48912,16.68788088
27,526020.8458,4694107.562,2.4008,16.27782614
28,526009.5003,4694110.673,2.63264,17.3238331
29,526017.3372,4694113.063,2.9528,18.62467248
30,526010.2101,4694114.841,2.79824,18.01546871
31,526003.3928,4694111.99,2.9528,18.62467248
32,526004.1325,4694116.279,2.58848,17.13196518
33,526007.1813,4694122.196,2.1248,14.8903831
34,526001.7934,4694121.089,3.2288,19.6365284
35,526011.2097,4694131.643,2.46704,16.58676308
36,526006.6915,4694135.273,2.91968,18.49688363
37,526002.3232,4694129.624,2.63264,17.3238331
38,526010.5099,4694141.312,2.70992,17.65190656
39,526000.6939,4694138.941,3.20672,19.55885335
40,526003.5427,4694143.206,2.76512,17.88050916
41,526007.2412,4694144.869,3.21776,19.59775806
42,526048.7346,4694126.032,3.42752,20.31242488
43,526043.8966,4694125.537,2.83136,18.14882473
44,526047.3552,4694131.52,3.20672,19.55885335
45,526029.3424,4694131.391,2.33456,15.96014456
46,526036.3996,4694129.546,3.42752,20.31242488
47,526024.2144,4694132.647,2.8424,18.19292695
48,526021.6955,4694136.121,2.80928,18.06009699
49,526017.2572,4694130.117,2.65472,17.41855096
50,526019.0765,4694134.017,2.8424,18.19292695
51,526014.9681,4694135.253,3.5048,20.56466021
52,526017.1173,4694141.878,3.57104,20.77644008
53,526013.6287,4694146.657,3.6152,20.91543876
54,526018.9965,4694148.214,3.2288,19.6365284
55,526025.5839,4694147.934,3.91328,21.81118123
56,526030.4919,4694149.447,3.42752,20.31242488
57,526036.1297,4694145.783,3.36128,20.09161776
58,526045.0161,4694146.081,3.53792,20.67104964
59,526039.8082,4694141.738,2.96384,18.66694749
60,526045.6459,4694141.798,3.0632,19.04042372
61,526049.9141,4694141.25,3.19568,19.51981331
62,526048.9245,4694145.276,3.01904,18.87596656
